#{"t_start": 1651643486.385538, "env_id": "Walker2d-v3"}
r,l,t
-3.642771,10,5.319391
17.930344,36,5.360829
-5.427152,22,5.403721
1.569191,17,5.452667
-8.585955,15,5.495176
-2.345098,15,5.83362
4.897948,18,5.873234
4.180705,20,5.91982
-10.380994,18,5.970496
0.990796,55,6.132644
3.324899,14,6.183251
7.249595,21,6.23494
-0.472153,18,6.271538
-3.319978,16,6.295158
3.640414,22,6.392637
3.410811,32,6.455097
-2.956025,9,6.485904
3.06533,23,6.540543
11.104868,24,6.672498
-0.498848,13,6.709637
2.697002,31,6.786235
3.172889,16,6.836683
3.251785,19,6.886094
5.502772,22,7.029998
-0.935125,9,7.060539
1.160715,20,7.107932
-2.120044,15,7.151488
3.80023,24,7.199851
10.836605,37,7.391261
-5.542485,10,7.428128
5.343846,21,7.47889
7.253941,26,7.546915
6.360169,16,7.586817
-4.836214,28,7.77398
4.724914,27,7.844271
2.547032,12,7.880936
5.648605,35,7.953184
2.421877,33,8.166897
3.166792,19,8.219794
-11.030082,17,8.268727
3.168894,22,8.320257
2.618229,19,8.357453
-1.885122,18,8.561027
2.361526,16,8.604367
12.536662,29,8.673349
5.151175,15,8.720698
0.387769,14,8.753888
-4.875204,26,8.984145
3.537418,14,9.024137
-0.643798,18,9.06102
-1.841808,23,9.115465
-4.555036,16,9.160227
