eval_ep_rewmean,eval_qs_difference,eval_abs_qs_difference,eval_eplenmean,eval_qs,eval_discount_q,total timesteps,eval_time_elapsed,eval mean 100 episode reward,qs_abs_difference,qs_mean,qs_difference,env_time,episodes,ep_rewmean,current_lr,mean 100 episode reward,time_elapsed,train_time,update_time,fps,act_time,n_updates,discount_q,eplenmean
-0.42362863636363635,0.5449665054654831,1.0918024,23.363636363636363,-1.3006347,0.0070154356978963306,1,0,-0.5,,,,,,,,,,,,,,,,
,,,,,,85,,,1.5277723010485238,-0.3065486,1.1489154859988855,0,4,2.6074030000000006,0.0003,2.6,1,0,0,64,0,0,0.9264501864631665,21.25
,,,,,,153,,,0.9884710530961842,-0.43378717,-0.9884710530961842,0,8,1.0721515000000001,0.0003,1.1,1,0,0,86,0,0,2.537603970044257,19.125
,,,,,,261,,,3.9556522229078115,-0.2806027,-3.9556522229078115,0,12,0.8134590000000003,0.0003,0.8,2,0,0,125,0,0,2.729333264680579,21.75
,,,,,,349,,,2.437408714003216,-0.33996123,1.5514073494182572,0,16,0.8137876249999999,0.0003,0.8,2,0,0,151,0,0,2.3106529652052172,21.8125
,,,,,,418,,,1.218732003314993,-0.28030685,1.218732003314993,0,20,1.18679635,0.0003,1.2,2,0,0,163,0,0,-0.17489203374608286,20.9
,,,,,,506,,,1.9557738755339054,-0.36280784,-1.9557738755339054,1,24,1.5983489583333332,0.0003,1.6,2,0,0,175,0,0,2.6809606631992677,21.083333333333332
,,,,,,574,,,1.5673581985021088,-0.40345922,-1.5092299386448025,1,28,1.4380768214285715,0.0003,1.4,3,0,0,188,0,0,2.2944774867048885,20.5
,,,,,,668,,,2.1501477371894735,-0.22883739,-1.2668605815738512,1,32,1.8174393125,0.0003,1.8,3,0,0,196,0,0,3.5617685681293243,20.875
,,,,,,751,,,0.7990010018575333,-0.38741228,-0.7990010018575333,1,36,1.8598321944444445,0.0003,1.9,3,0,0,201,0,0,1.2359294245786707,20.86111111111111
,,,,,,855,,,7.240663498438679,-0.2650401,7.240663498438679,1,40,1.6790287750000001,0.0003,1.7,4,0,0,207,0,0,-4.109741229282481,21.375
,,,,,,930,,,1.0132152618461048,-0.34337902,0.3982213308570011,1,44,1.6687426818181819,0.0003,1.7,4,0,1,208,0,0,1.3846017635031074,21.136363636363637
,,,,,,1014,,,3.809989317939975,-0.37002277,3.4454397002975403,1,48,1.8046891666666667,0.0003,1.8,4,0,1,209,0,0,-2.189747356850984,21.125
,,,,,,1085,,,3.349788277592444,-0.40232727,3.349788277592444,2,52,1.5984972307692307,0.0003,1.6,5,0,1,216,0,0,-2.298337306389876,20.865384615384617
